Title,Note,URL,Tags,Comment
Peaches Hot House,,https://www.google.com/maps/place/Peaches+Hot+House/data=!4m2!3m1!1s0x89c25b8ee5931ba3:0xc2ad304bb80d15e0,,
Salt + Charcoal,,https://www.google.com/maps/place/Salt+%2B+Charcoal/data=!4m2!3m1!1s0x89c25960594e4961:0xe1d289c85189ef88,,
Llama Inn,,https://www.google.com/maps/place/Llama+Inn/data=!4m2!3m1!1s0x89c2595a32d4ab0f:0xf582bf1548865748,,
Sasabune,,https://www.google.com/maps/place/Sasabune/data=!4m2!3m1!1s0x89c258c0e1e1e1c5:0xf3e9be7aa4d374ae,,
noda,,https://www.google.com/maps/place/noda/data=!4m2!3m1!1s0x89c259a612981207:0x6697936d9ac4ff2f,,
Win Son,,https://www.google.com/maps/place/Win+Son/data=!4m2!3m1!1s0x89c25bfc4ad8e6e3:0x4a3873012de5123e,,
Lilia,,https://www.google.com/maps/place/Lilia/data=!4m2!3m1!1s0x89c2595bea837025:0x77eb07a48c30f727,,
MáLà Project,,https://www.google.com/maps/place/M%C3%A1L%C3%A0+Project/data=!4m2!3m1!1s0x89c258ffa93224bb:0xc4ee2d7b7d9b534a,,
Shuko,,https://www.google.com/maps/place/Shuko/data=!4m2!3m1!1s0x89c2599907abc57b:0xa7c809960d371b10,,
Sushi Zo,,https://www.google.com/maps/place/Sushi+Zo/data=!4m2!3m1!1s0x89c25991989f7f95:0x218da4b046b1f875,,
Kura,,https://www.google.com/maps/place/Kura/data=!4m2!3m1!1s0x89c2599d5d744299:0x959ec457eab264f7,,
Mo Ran Gak Restaurant,,https://www.google.com/maps/place/Mo+Ran+Gak+Restaurant/data=!4m2!3m1!1s0x80dd287bbcf9731f:0x624c1e64bb460d16,,
ATOMIX,,https://www.google.com/maps/place/ATOMIX/data=!4m2!3m1!1s0x89c259081e80b9dd:0xcbba8bbce70e7645,,
NONONO,,https://www.google.com/maps/place/NONONO/data=!4m2!3m1!1s0x89c2591ca9685707:0x539c610aae88f0b1,,
Jungle Bird,,https://www.google.com/maps/place/Jungle+Bird/data=!4m2!3m1!1s0x89c259f01642ca01:0x8a303e633b540d74,,
Mama's TOO!,,https://www.google.com/maps/place/Mama's+TOO!/data=!4m2!3m1!1s0x89c2f624dd2aefe7:0xb86f14140d256552,,
Seed + Mill,,https://www.google.com/maps/place/Seed+%2B+Mill/data=!4m2!3m1!1s0x89c259bf68562665:0xc9dd251ac0f8fbf6,,
Charles' Country Pan Fried Chicken,,https://www.google.com/maps/place/Charles'+Country+Pan+Fried+Chicken/data=!4m2!3m1!1s0x89c2f67e346dfaef:0xdd49c9fc36bd9d58,,
Adda,,https://www.google.com/maps/place/Adda/data=!4m2!3m1!1s0x89c25ff7a5e3c723:0x2bb730fbe0c20890,,
Via Carota,,https://www.google.com/maps/place/Via+Carota/data=!4m2!3m1!1s0x89c259937f4eb1af:0xe49ad5dc628370bb,,
Russ & Daughters Cafe,,https://www.google.com/maps/place/Russ+%26+Daughters+Cafe/data=!4m2!3m1!1s0x89c25986daaa7ce7:0x7a4f998a3fd281a8,,
